№ п.п.;Тип ЗРИ;Изготовитель (сокращенное наименование);Изготовитель код ОКПО;Вид излучения;Информация о радионуклиде в составе ЗРИ;;;;;;;;Категория потенциальной опасности ЗРИ ;;Минимальная активность;Максимальная активность;НСС, лет;Чертеж (изображение);Класс прочности ;;Размеры,мм;;;;;;;;;;Дополнительная информация;;;;;;Тип капсулы, модель
9;ГНТ4-26;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;;8E+11;4;см. отдельный файл;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;161,3;;26,5;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
10;ГНТ1-40-03;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;;3,7E+11;4;см. отдельный файл;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;150,5;;40,4;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
11;"ГНТ3-42
";"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;;4,1E+11;4;см. отдельный файл;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;169;;43;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
12;Т19-Л214;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;;8,1E+11;;см. отдельный файл;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;147;;26;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
13;Т19-Л214-01;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;81000000000;4;см. отдельный файл;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;147;;26;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
14;Т19-Л282;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;3,7E+11;4;см. отдельный файл;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;172,5;;43;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
15;MS3;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
16;MS4;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
17;4MS11;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
18;4MS12;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
19;MS10;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
20;4MS10;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
21;4MS5;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
22;E.T.1/18;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
23;E.T.2/18;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
24;E.T.3/18;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
25;E.T.4/18;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
26;E.T.5/18;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
27;E.T.6/18;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
28;E.T.7/18;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
29;E.T.8/18;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,1Е+12;-;изделия не подлежат продажи, являются коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;250;250;680;;;;;;;;Молекулярное сито состоит из металлического корпуса, внутри которого находится цеолит;Молекулярные сита применяются в установках очистки газов от трития;;;-;-;-
30;ТЖИУ.433422.004-01;"ФГУП ""ВНИИА""";7623885;бета;уран-238;U-238;альфа;4470000000;лет;10;10000;-1;5;нет;-;75000;10;изделия не подлежат продажи, являются коммерческой тайной;;;;62;235;;;;;;;;Ловушка предназначена для обратимого хранения изотопов водорода (трития по ТУ 95 2168-2002Е, дейтерия по ТУ 95 15-88). Максимальное содержание изотопов водорода в ловушке (ёмкость ловушки) – 380 см3.;;;;-;-;-
31;ТЖИУ.433422.004-02;"ФГУП ""ВНИИА""";7623885;бета;уран-238;U-238;альфа;4470000000;лет;10;10000;-1;5;нет;-;110000;10;изделия не подлежат продажи, являются коммерческой тайной;;;;62;235;;;;;;;;Ловушка предназначена для обратимого хранения изотопов водорода (трития по ТУ 95 2168-2002Е, дейтерия по ТУ 95 15-88). Максимальное содержание изотопов водорода в ловушке (ёмкость ловушки) – 380 см3.;;;;-;-;-
32;ТЖИУ.433422.004-03;"ФГУП ""ВНИИА""";7623885;бета;уран-238;U-238;альфа;4470000000;лет;10;10000;-1;5;нет;-;190001;10;изделия не подлежат продажи, являются коммерческой тайной;;;;62;235;;;;;;;;Ловушка предназначена для обратимого хранения изотопов водорода (трития по ТУ 95 2168-2002Е, дейтерия по ТУ 95 15-88). Максимальное содержание изотопов водорода в ловушке (ёмкость ловушки) – 380 см3.;;;;-;-;-
33;ТЖИУ.433422.004-05;"ФГУП ""ВНИИА""";7623885;бета;уран-238;U-238;альфа;4470000000;лет;10;10000;-1;5;нет;-;190001;10;изделия не подлежат продажи, являются коммерческой тайной;;;;62;235;;;;;;;;Ловушка предназначена для обратимого хранения изотопов водорода (трития по ТУ 95 2168-2002Е, дейтерия по ТУ 95 15-88). Максимальное содержание изотопов водорода в ловушке (ёмкость ловушки) – 380 см3.;;;;-;-;-
34;"ПФ2-120
(ПФ2-120-01, ПФ2-120-02, ПФ2-120-03, ПФ2-120-04)";"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,11E+12;4;;;;139,5;146,5;182,5 - 201;;;;;;;;Отпаянный электровакуумный прибор содержит в своём составе газопоглотитель из пористого титана, насыщенного смесью изотопов водорода (дейтерия и трития).;Применяется в установках и генераторах нейтронов для научных исследований, калибровки детекторов быстропротекающих процессов и т.п.;При включении в составе исследовательских установок или генераторов нейтронов нейтронный выход до 2E+11 н./имп.;Контроль герметичности изделия при изготовлении выполняется гелиевым масс-спектрометрическим течеискателем. Норма герметичности не более 5E-11 м^3*Па/с (Вт);-;-;-
35;ПФ5-40;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;3,7E+11;4;;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;164-180;;54;;;;;;Отпаянный электровакуумный прибор содержит в своём составе газопоглотитель из пористого титана, насыщенного смесью изотопов водорода (дейтерия и трития).;Применяется в установках и генераторах нейтронов для научных исследований, калибровки детекторов быстропротекающих процессов и т.п.;При включении в составе исследовательских установок или генераторов нейтронов нейтронный выход до 1E+9 н./имп.;Контроль герметичности изделия при изготовлении выполняется гелиевым масс-спектрометрическим течеискателем. Норма герметичности не более 5E-11 м^3*Па/с (Вт);-;-;-
36;ПФ7-02;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;3,7E+11;4;;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;194;;55;;;;;;Отпаянный электровакуумный прибор содержит в своём составе газопоглотитель из пористого титана, насыщенного смесью изотопов водорода (дейтерия и трития).;Применяется в установках и генераторах нейтронов для научных исследований, калибровки детекторов быстропротекающих процессов и т.п.;При включении в составе исследовательских установок или генераторов нейтронов нейтронный выход до 1E+10 н./имп.;Контроль герметичности изделия при изготовлении выполняется гелиевым масс-спектрометрическим течеискателем. Норма герметичности не более 5E-11 м^3*Па/с (Вт);-;-;-
37;ПФ9;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,11E+12;4;;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;139,5;146,5;182,5;;;;;;;;Отпаянный электровакуумный прибор содержит в своём составе газопоглотитель из пористого титана, насыщенного смесью изотопов водорода (дейтерия и трития).;Применяется в установках и генераторах нейтронов для научных исследований, калибровки детекторов быстропротекающих процессов и т.п.;При включении в составе исследовательских установок или генераторов нейтронов нейтронный выход до 2E+11 н./имп.;Контроль герметичности изделия при изготовлении выполняется гелиевым масс-спектрометрическим течеискателем. Норма герметичности не более 5E-11 м^3*Па/с (Вт);-;-;-
38;ВНТ3-26;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;92500000000;4;является коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;114;;26,5;;;;;;Отпаянный электровакуумный прибор содержит в своём составе газопоглотитель из пористого титана, насыщенного смесью изотопов водорода (дейтерия и трития).;Применяется в установках и генераторах нейтронов для научных исследований, калибровки детекторов быстропротекающих процессов и т.п.;;Контроль герметичности изделия при изготовлении выполняется гелиевым масс-спектрометрическим течеискателем. Норма герметичности не более 5E-11 м^3*Па/с (Вт);-;-;-
39;Т19-Л210;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;9,25E+11;4;;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;242;;92;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
40;ТНТ1413;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;4,5E+11;4;является коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;130,5;;68;;;;;;Отпаянный электровакуумный прибор содержит в своём составе газопоглотитель из пористого титана, насыщенного смесью изотопов водорода (дейтерия и трития).;Применяется в установках и генераторах нейтронов для научных исследований, калибровки детекторов быстропротекающих процессов и т.п.;;Контроль герметичности изделия при изготовлении выполняется гелиевым масс-спектрометрическим течеискателем. Норма герметичности не более 5E-11 м^3*Па/с (Вт);-;-;-
41;ТНТ147;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;4,5E+11;4;является коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;167;;68;;;;;;Отпаянный электровакуумный прибор содержит в своём составе газопоглотитель из пористого титана, насыщенного смесью изотопов водорода (дейтерия и трития).;Применяется в установках и генераторах нейтронов для научных исследований, калибровки детекторов быстропротекающих процессов и т.п.;;Контроль герметичности изделия при изготовлении выполняется гелиевым масс-спектрометрическим течеискателем. Норма герметичности не более 5E-11 м^3*Па/с (Вт);-;-;-
42;ВНТ3-32;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;74000000000;4;является коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;127;;31,5;;;;;;Отпаянный электровакуумный прибор содержит в своём составе газопоглотитель из пористого титана, насыщенного смесью изотопов водорода (дейтерия и трития).;Применяется в установках и генераторах нейтронов для научных исследований, калибровки детекторов быстропротекающих процессов и т.п.;;Контроль герметичности изделия при изготовлении выполняется гелиевым масс-спектрометрическим течеискателем. Норма герметичности не более 5E-11 м^3*Па/с (Вт);-;-;-
43;ВНТ6-26;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;1,17E+11;4;является коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;128,9;;26;;;;;;Отпаянный электровакуумный прибор содержит в своём составе газопоглотитель из пористого титана, насыщенного смесью изотопов водорода (дейтерия и трития).;Применяется в установках и генераторах нейтронов для научных исследований, калибровки детекторов быстропротекающих процессов и т.п.;;Контроль герметичности изделия при изготовлении выполняется гелиевым масс-спектрометрическим течеискателем. Норма герметичности не более 5E-11 м^3*Па/с (Вт);-;-;-
44;ТНТС193;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;9,25E+11;4;;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;242;;92;;;;;;Электровакуумный прибор содержит в своём конструктиве втулку из спресованного мелкодисперсного титана, насыщенного изотопами водорода  (в т.ч. тритием) ;Элетровакуумный прибор применяется в нефтяном и газовом каротаже для ядерно-геофизических исследований;;Контроль герметичности изделия при изготовлении выполняется гелиевым течеискателем методом обдува. Норма герметичности 5*10е-11 м^3*Па/с (Вт);-;-;-
46;ТНТ147-01;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;4,5E+11;4;является коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;167;;68;;;;;;Отпаянный электровакуумный прибор содержит в своём составе газопоглотитель из пористого титана, насыщенного смесью изотопов водорода (дейтерия и трития).;Применяется в установках и генераторах нейтронов для научных исследований, калибровки детекторов быстропротекающих процессов и т.п.;;Контроль герметичности изделия при изготовлении выполняется гелиевым масс-спектрометрическим течеискателем. Норма герметичности не более 5E-11 м^3*Па/с (Вт);-;-;-
47;Т19-Л247;"ФГУП ""ВНИИА""";7623885;бета;тритий;H-3;бета;12,3;лет;1000000;1000000000;2000;5;нет;-;2,1E+11;4;является коммерческой тайной;;ГОСТ Р 52241 (ИСО 2919) на изделия на основе трития не распростроняется;;;147,7;;31,5;;;;;;Отпаянный электровакуумный прибор содержит в своём составе газопоглотитель из пористого титана, насыщенного смесью изотопов водорода (дейтерия и трития).;Применяется в установках и генераторах нейтронов для научных исследований, калибровки детекторов быстропротекающих процессов и т.п.;;Контроль герметичности изделия при изготовлении выполняется гелиевым масс-спектрометрическим течеискателем. Норма герметичности не более 5E-11 м^3*Па/с (Вт);-;-;-
